ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,Domaine\Domaine.csproj,File,Domaine\Domaine.csproj,,,Microsoft.EntityFrameworkCore.Abstractions 6.0.2,,,,,"Microsoft.EntityFrameworkCore.Abstractions, 6.0.2  Recommandation :  Remove Microsoft.EntityFrameworkCore.Abstractions, and replace with new package Microsoft.EntityFrameworkCore.Abstractions 10.0.3"
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,Domaine\Domaine.csproj,File,Domaine\Domaine.csproj,,,Newtonsoft.Json 13.0.1,,,,,"Newtonsoft.Json, 13.0.1  Recommandation :  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,Domaine\Domaine.csproj,File,Domaine\Domaine.csproj,,,,,,,,Infrastructure cible actuelle: net6.0 Infrastructure cible recommandé: net10.0
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,HermesEyes.com\HermesEyes.com.csproj,File,HermesEyes.com\HermesEyes.com.csproj,,,Microsoft.EntityFrameworkCore.Design 6.0.2,,,,,"Microsoft.EntityFrameworkCore.Design, 6.0.2  Recommandation :  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.3"
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,HermesEyes.com\HermesEyes.com.csproj,File,HermesEyes.com\HermesEyes.com.csproj,,,,,,,,Infrastructure cible actuelle: net6.0 Infrastructure cible recommandé: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HermesEyes.com\HermesEyes.com.csproj,File,HermesEyes.com\Model\TokensProvider.cs,36,12,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"Tokens = _configurationManager.GetSection(""Tokens"").Get<List<TokenInfo>>() ?? new List<TokenInfo>();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HermesEyes.com\HermesEyes.com.csproj,File,HermesEyes.com\Model\TokensProvider.cs,36,12,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"Tokens = _configurationManager.GetSection(""Tokens"").Get<List<TokenInfo>>() ?? new List<TokenInfo>();"
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Infrastructure.csproj,,,Microsoft.EntityFrameworkCore 6.0.2,,,,,"Microsoft.EntityFrameworkCore, 6.0.2  Recommandation :  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.Design 6.0.2,,,,,"Microsoft.EntityFrameworkCore.Design, 6.0.2  Recommandation :  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.3"
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 6.0.2,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 6.0.2  Recommandation :  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.3"
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.Tools 6.0.2,,,,,"Microsoft.EntityFrameworkCore.Tools, 6.0.2  Recommandation :  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.3"
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Infrastructure.csproj,,,,,,,,Infrastructure cible actuelle: net6.0 Infrastructure cible recommandé: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\APIs\Extensions\StringExtensions.cs,11,12,T:System.Security.Cryptography.SHA1Managed,,,,,byte[]? hashData = new SHA1Managed().ComputeHash(data);
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,Services\Services.csproj,File,Services\Services.csproj,,,Newtonsoft.Json 13.0.1,,,,,"Newtonsoft.Json, 13.0.1  Recommandation :  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,Services\Services.csproj,File,Services\Services.csproj,,,,,,,,Infrastructure cible actuelle: net6.0 Infrastructure cible recommandé: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Services\Services.csproj,File,Services\DataServices\VinRushScrapper.cs,32,12,M:System.Net.WebClient.#ctor,,,,,WebClient webClient = new WebClient();
